District_Name,AHMEDNAGAR,AKOLA,AMRAVATI,AURANGABAD,BEED,BHANDARA,BULDHANA,CHANDRAPUR,DHULE,GADCHIROLI,GONDIA,HINGOLI,JALGAON,JALNA,KOLHAPUR,LATUR,MUMBAI,NAGPUR,NANDED,NANDURBAR,NASHIK,OSMANABAD,PALGHAR,PARBHANI,PUNE,RAIGAD,RATNAGIRI,SANGLI,SATARA,SINDHUDURG,SOLAPUR,THANE,WARDHA,WASHIM,YAVATMAL
lat,19.08,20.73,20.93,19.88,18.99,21.17,19.2,19.95,20.9,18.98,21.45,19.72,21.05,19.83,16.7,18.4,18.98,21.15,19.15,21.37,18.98,18.17,19.68,19.27,18.53,18.62,16.98,16.87,17.68,18.62,17.68,19.2,20.75,20.1,20.4
lon,74.73,77.0,77.75,75.33,75.76,79.65,72.97,79.3,74.78,72.83,80.2,77.15,76.53,75.88,74.22,76.58,72.83,79.1,77.33,74.25,72.83,76.05,72.75,76.78,73.87,73.8,73.3,74.57,73.98,73.8,75.92,72.97,78.62,77.15,78.13
